code,name,category,subcategory,thickness_mm,has_grain,unit,sort_order
EB-0001,0.0312 ABS Decorative,Edgeband,ABS Edging,0.03,False,lf,0
EB-0002,0.0312 ABS Decorative Grain,Edgeband,ABS Edging,0.03,False,lf,1
EB-0003,0.0312 ABS White,Edgeband,ABS Edging,0.03,False,lf,2
EB-0004,0.0312 ABS Width 1.5in Decorative,Edgeband,ABS Edging,0.03,False,lf,3
EB-0005,0.0312 ABS Width 1.5in White,Edgeband,ABS Edging,0.03,False,lf,4
EB-0006,0.0312 ABS Width 1in Decorative,Edgeband,ABS Edging,0.03,False,lf,5
EB-0007,0.0312 ABS Width 1in White,Edgeband,ABS Edging,0.03,False,lf,6
EB-0008,0.125 ABS Decorative,Edgeband,ABS Edging,0.12,False,lf,7
EB-0009,0.125 ABS White,Edgeband,ABS Edging,0.12,False,lf,8
EB-0010,0.5 mm ABS White,Edgeband,ABS Edging,0.5,False,lf,9
EB-0011,0.5mm ABS 555 White Matte,Edgeband,ABS Edging,0.5,False,lf,10
EB-0012,1 mm Color ABS,Edgeband,ABS Edging,1.0,False,lf,11
EB-0013,1 mm White ABS,Edgeband,ABS Edging,1.0,False,lf,12
EB-0014,1mm ABS 555 White Gloss,Edgeband,ABS Edging,1.0,False,lf,13
EB-0015,1mm ABS 555 White Matte,Edgeband,ABS Edging,1.0,False,lf,14
EB-0016,1mm ABS Black,Edgeband,ABS Edging,1.0,False,lf,15
EB-0017,1mm ABS Decorative,Edgeband,ABS Edging,1.0,False,lf,16
EB-0018,1mm ABS Decorative Grain,Edgeband,ABS Edging,1.0,False,lf,17
EB-0019,1mm ABS Gray,Edgeband,ABS Edging,1.0,False,lf,18
EB-0020,1mm ABS White,Edgeband,ABS Edging,1.0,False,lf,19
EB-0021,1mm ABS Width 25mm Decorative,Edgeband,ABS Edging,1.0,False,lf,20
EB-0022,1mm ABS Width 25mm White,Edgeband,ABS Edging,1.0,False,lf,21
EB-0023,1mm ABS Width 38mm Decorative,Edgeband,ABS Edging,1.0,False,lf,22
EB-0024,1mm ABS Width 38mm White,Edgeband,ABS Edging,1.0,False,lf,23
EB-0025,2mm ABS Decorative,Edgeband,ABS Edging,2.0,False,lf,24
EB-0026,2mm ABS White,Edgeband,ABS Edging,2.0,False,lf,25
EB-0027,3mm ABS White,Edgeband,ABS Edging,1.0,False,lf,26
EB-0028,0.125 Decorative,Edgeband,Edgeband,0.12,False,lf,27
EB-0029,0.125 White,Edgeband,Edgeband,0.12,False,lf,28
EB-0030,0.125 White Gloss,Edgeband,Edgeband,1.0,False,lf,29
EB-0031,0.4 Decorative,Edgeband,Edgeband,1.0,False,lf,30
EB-0032,0.4 White,Edgeband,Edgeband,0.4,False,lf,31
EB-0033,0.5 Birch - Edges,Edgeband,Edgeband,0.5,False,lf,32
EB-0034,0.5 Birch Edges,Edgeband,Edgeband,0.5,False,lf,33
EB-0035,0.5 Black Edge,Edgeband,Edgeband,0.5,False,lf,34
EB-0036,0.5 Black Wide Edge,Edgeband,Edgeband,0.5,False,lf,35
EB-0037,0.5 ML1 Edge,Edgeband,Edgeband,0.5,False,lf,36
EB-0038,0.5 ML1_Edges,Edgeband,Edgeband,0.5,False,lf,37
EB-0039,0.5 mm Chakra K74 EB,Edgeband,Edgeband,0.5,False,lf,38
EB-0040,0.5 MM PL1 - Edge,Edgeband,Edgeband,0.5,False,lf,39
EB-0041,0.5 mm White EB,Edgeband,Edgeband,0.5,False,lf,40
EB-0042,0.5 mm White EB_1,Edgeband,Edgeband,0.5,False,lf,41
EB-0043,0.5 Orange_Edge,Edgeband,Edgeband,0.5,False,lf,42
EB-0044,0.5 PL1_Edge,Edgeband,Edgeband,0.5,False,lf,43
